run_id,instance_id,approximation,budget,index,max_order,min_order,Precision@10,Precision@5,KendallTau,KendallTau@10,KendallTau@50,MSE,MAE,SSE,SAE,NonTrivialMSE,NonTrivialMAE,NonTrivialSSE,NonTrivialSAE,MSE@10,MAE@10,SSE@10,SAE@10,MSE@5,MAE@5,SSE@5,SAE@5
C:\1_Workspaces\1_Phd_Projects\GraphSHAP-IQ\graph_shapiq_experiments\..\results\approximation\GraphSHAPIQ\GAT_BZR_2_104_40_10_True_23678_Moebius_40_1.interaction_values,GAT_BZR_2_104,GraphSHAPIQ,23678,SV,1,0,1.0,1.0,0.9666666666666668,0.9999999999999999,0.9666666666666668,4.1137162875700307e-07,0.00029465741931628605,1.6454865150280123e-05,0.011786296772651441,4.1137162875700297e-07,0.00029465741931628605,1.645486515028012e-05,0.011786296772651441,8.800735779939142e-07,0.0005070778829998609,8.800735779939142e-06,0.0050707788299986095,1.5750854048782755e-06,0.000761647635337076,7.875427024391377e-06,0.00380823817668538
C:\1_Workspaces\1_Phd_Projects\GraphSHAP-IQ\graph_shapiq_experiments\..\results\approximation\GraphSHAPIQ\GAT_BZR_2_104_40_11_True_23780_Moebius_40_1.interaction_values,GAT_BZR_2_104,GraphSHAPIQ,23780,SV,1,0,1.0,1.0,0.9974358974358974,0.9999999999999999,0.9974358974358974,1.3750974289178764e-08,5.903884243124297e-05,5.500389715671505e-07,0.0023615536972497186,1.3750974289178766e-08,5.903884243124297e-05,5.500389715671506e-07,0.0023615536972497186,3.1685706886016066e-08,0.00011983798482478533,3.1685706886016063e-07,0.0011983798482478533,3.530410049369899e-08,0.00011026536424953715,1.7652050246849497e-07,0.0005513268212476857
C:\1_Workspaces\1_Phd_Projects\GraphSHAP-IQ\graph_shapiq_experiments\..\results\approximation\GraphSHAPIQ\GAT_BZR_2_104_40_12_True_23793_Moebius_40_1.interaction_values,GAT_BZR_2_104,GraphSHAPIQ,23793,SV,1,0,1.0,1.0,1.0,0.9999999999999999,1.0,3.444082625816544e-14,1.0579824447458363e-07,1.3776330503266176e-12,4.2319297789833454e-06,3.4440826258165434e-14,1.0579824447458363e-07,1.3776330503266174e-12,4.2319297789833454e-06,5.2985886548452155e-14,1.6276652995694807e-07,5.298588654845215e-13,1.6276652995694807e-06,4.23887092308106e-14,1.30213223953346e-07,2.11943546154053e-13,6.5106611976673e-07
C:\1_Workspaces\1_Phd_Projects\GraphSHAP-IQ\graph_shapiq_experiments\..\results\approximation\GraphSHAPIQ\GAT_BZR_2_104_40_13_True_23793_Moebius_40_1.interaction_values,GAT_BZR_2_104,GraphSHAPIQ,23793,SV,1,0,1.0,1.0,1.0,0.9999999999999999,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C:\1_Workspaces\1_Phd_Projects\GraphSHAP-IQ\graph_shapiq_experiments\..\results\approximation\GraphSHAPIQ\GAT_BZR_2_104_40_1_True_77_Moebius_40_1.interaction_values,GAT_BZR_2_104,GraphSHAPIQ,77,SV,1,0,0.5,0.4,0.24871794871794875,0.1111111111111111,0.24871794871794875,0.008580341401485314,0.07318279888936484,0.34321365605941256,2.9273119555745937,0.008580341401485312,0.07318279888936484,0.34321365605941245,2.9273119555745937,0.009763741461987063,0.07604982730461655,0.09763741461987062,0.7604982730461656,0.007627761291692339,0.07102123828741488,0.038138806458461696,0.35510619143707445
C:\1_Workspaces\1_Phd_Projects\GraphSHAP-IQ\graph_shapiq_experiments\..\results\approximation\GraphSHAPIQ\GAT_BZR_2_104_40_2_True_420_Moebius_40_1.interaction_values,GAT_BZR_2_104,GraphSHAPIQ,420,SV,1,0,0.9,1.0,0.5358974358974359,0.022222222222222223,0.5358974358974359,0.0005757678446857036,0.01898595093951772,0.02303071378742814,0.7594380375807087,0.0005757678446857035,0.01898595093951772,0.023030713787428138,0.7594380375807087,0.0004588122248097394,0.019072388979852424,0.004588122248097394,0.19072388979852425,0.00028685191074738443,0.015621757059747615,0.0014342595537369222,0.07810878529873808
C:\1_Workspaces\1_Phd_Projects\GraphSHAP-IQ\graph_shapiq_experiments\..\results\approximation\GraphSHAPIQ\GAT_BZR_2_104_40_3_True_1777_Moebius_40_1.interaction_values,GAT_BZR_2_104,GraphSHAPIQ,1777,SV,1,0,0.9,1.0,0.6,0.37777777777777777,0.6,5.818240104963371e-05,0.00630012383589206,0.0023272960419853483,0.2520049534356824,5.818240104963371e-05,0.00630012383589206,0.0023272960419853483,0.2520049534356824,5.556243223275635e-05,0.005623198542781249,0.0005556243223275635,0.05623198542781249,1.4239002195976942e-05,0.0033994308817720197,7.119501097988471e-05,0.0169971544088601
C:\1_Workspaces\1_Phd_Projects\GraphSHAP-IQ\graph_shapiq_experiments\..\results\approximation\GraphSHAPIQ\GAT_BZR_2_104_40_4_True_4894_Moebius_40_1.interaction_values,GAT_BZR_2_104,GraphSHAPIQ,4894,SV,1,0,0.9,0.8,0.5025641025641026,-0.15555555555555553,0.5025641025641026,5.296725342585039e-05,0.005786027808078549,0.0021186901370340155,0.231441112323142,5.29672534258504e-05,0.005786027808078551,0.002118690137034016,0.23144111232314205,3.021543080926343e-05,0.004410831515895204,0.0003021543080926343,0.04410831515895204,1.1528781268900067e-05,0.003073879111529823,5.7643906344500336e-05,0.015369395557649115
C:\1_Workspaces\1_Phd_Projects\GraphSHAP-IQ\graph_shapiq_experiments\..\results\approximation\GraphSHAPIQ\GAT_BZR_2_104_40_5_True_9668_Moebius_40_1.interaction_values,GAT_BZR_2_104,GraphSHAPIQ,9668,SV,1,0,0.8,1.0,0.7205128205128206,0.19999999999999998,0.7205128205128206,1.591713438346346e-05,0.003053877174661726,0.0006366853753385385,0.12215508698646904,1.5917134383463464e-05,0.0030538771746617256,0.0006366853753385386,0.12215508698646903,3.136535004595371e-05,0.0044687535781181165,0.0003136535004595371,0.04468753578118117,1.7341232040986945e-05,0.003824017387673187,8.670616020493472e-05,0.019120086938365935
C:\1_Workspaces\1_Phd_Projects\GraphSHAP-IQ\graph_shapiq_experiments\..\results\approximation\GraphSHAPIQ\GAT_BZR_2_104_40_6_True_14912_Moebius_40_1.interaction_values,GAT_BZR_2_104,GraphSHAPIQ,14912,SV,1,0,1.0,1.0,0.7948717948717949,0.7777777777777777,0.7948717948717949,2.3013828300992968e-05,0.0028532929477575074,0.0009205531320397187,0.1141317179103003,2.3013828300992964e-05,0.0028532929477575082,0.0009205531320397185,0.11413171791030033,5.7678802086812664e-05,0.005174929918805257,0.0005767880208681266,0.051749299188052565,1.5160037227933187e-05,0.003270500334676252,7.580018613966594e-05,0.01635250167338126
