value,size
-0.0001633167266845703,6
-3.266334533691406e-05,5
-0.00011229515075683594,4
4.3392181396484375e-05,7
0.0016486644744873047,7
-0.0010063648223876953,5
5.53131103515625e-05,5
-0.0001285076141357422,5
-0.005292415618896484,5
-5.3882598876953125e-05,3
-0.00013399124145507812,5
8.106231689453125e-06,6
-0.007149219512939453,3
-0.009759902954101562,4
-1.9073486328125e-06,5
-7.534027099609375e-05,5
0.0026040077209472656,3
0.00011372566223144531,4
-0.0008802413940429688,6
0.00011515617370605469,6
0.006450176239013672,3
0.0010600090026855469,6
-1.0013580322265625e-05,5
-5.4836273193359375e-06,7
-4.57763671875e-05,5
6.151199340820312e-05,4
-4.7206878662109375e-05,4
-0.00010538101196289062,6
-8.821487426757812e-06,5
-4.863739013671875e-05,4
0.007136821746826172,5
0.0032401084899902344,7
-0.0013630390167236328,5
0.0013735294342041016,3
-0.00018453598022460938,4
1.1444091796875e-05,5
0.0003597736358642578,8
0.0008733272552490234,3
6.389617919921875e-05,4
-1.1682510375976562e-05,5
-0.0011277198791503906,7
-0.0005595684051513672,7
3.337860107421875e-05,5
0.0007584095001220703,7
-0.003319978713989258,5
0.00010919570922851562,4
-0.0031075477600097656,5
-0.00927114486694336,2
3.8623809814453125e-05,5
0.003141164779663086,5
-0.0002675056457519531,5
-9.5367431640625e-07,6
-0.0001697540283203125,7
2.765655517578125e-05,3
-0.0019221305847167969,7
-8.58306884765625e-06,6
7.414817810058594e-05,4
-0.0002315044403076172,7
-0.00014281272888183594,3
2.3603439331054688e-05,6
-5.245208740234375e-06,6
3.266334533691406e-05,4
0.006443500518798828,4
0.00016427040100097656,8
0.0006737709045410156,4
0.0007460117340087891,10
-1.239776611328125e-05,5
1.6450881958007812e-05,5
0.00018930435180664062,4
-0.0007104873657226562,3
0.0004153251647949219,6
0.00037932395935058594,4
-0.0005476474761962891,7
-0.0002582073211669922,6
0.0467379093170166,3
-0.00037789344787597656,6
0.000591278076171875,8
-0.0018715858459472656,5
0.0043103694915771484,3
-0.0037078857421875,2
0.016080856323242188,3
0.0005924701690673828,6
0.0008144378662109375,8
0.0006663799285888672,6
0.0008950233459472656,4
2.4557113647460938e-05,4
-6.651878356933594e-05,4
-0.006107330322265625,4
0.0002727508544921875,4
-0.0003819465637207031,7
-0.0009667873382568359,5
-7.605552673339844e-05,6
1.9311904907226562e-05,7
0.060735464096069336,4
-2.1696090698242188e-05,6
-0.008646488189697266,4
0.0005304813385009766,2
