,GraphSHAPIQ_True_interaction,GraphSHAPIQ_True_moebius,Permutation,KernelSHAPIQ,incKernelSHAPIQ,SHAPIQ,SVARMIQ,GraphSHAPIQ_False_interaction,GraphSHAPIQ_False_moebius,budget_with_efficiency,budget_no_efficiency
1,0.0003968553247181023,0.0038134945491860453,0.0028770481482771836,0.08796516771537452,0.0009498683916538114,0.002310425021972023,0.002165139561940327,0.000109861977158378,0.0030536693039834115,27,15
2,0.0004356128195987054,0.00321924410807062,0.0002299339120910207,0.0010764307570107034,0.0005870488501615593,0.027913115106325357,0.0018571343027537941,8.09209171840154e-05,0.002769351186384131,116,104
3,0.0021972202699912418,0.0036626687009873515,6.339041915829035e-05,3.62625596725594e-05,2.051807589261501e-05,0.005349365633296553,0.0015693134735573191,0.00040775144922154015,0.0025311185145994773,457,445
4,0.004187892712610174,0.008467690017425636,0.00010646935257648035,9.192712042874133e-06,8.648931952265044e-06,0.0009389013250398053,0.0009617117983115353,0.0025026912000150952,0.002299786180359914,1337,1325
5,0.0032672083087154453,0.00826093517392539,2.7589114347970986e-05,4.551390485699702e-06,3.495982746638655e-06,0.00018721136439788506,0.0005290772429695503,0.005013330916897255,0.0020800864541516283,2953,2942
6,0.0019819780472319277,0.00598999962993117,1.5360510594253766e-05,4.552104151402102e-06,3.496970753644861e-06,0.0001239517586521904,0.00034407863103294865,0.0043444521419546064,0.0018524711638798288,5129,5120
7,0.004260606843212249,0.011255840426891933,9.421917700037645e-06,1.8585668416982586e-06,1.2558103090982185e-06,7.662294528065331e-05,0.00016303029794265085,0.003726761933729866,0.001596917479582263,7307,7298
8,0.008115043574713593,0.023461465504886148,8.152126786683824e-06,1.858238018300079e-06,1.255790741685694e-06,2.4190758501619864e-05,0.00011734043824819324,0.011373477326762171,0.0012878447737163985,8922,8915
9,0.005507838927976421,0.026874060880692375,6.875476479220385e-06,1.858145166455034e-06,1.2558519257268166e-06,2.8326666582787563e-05,9.24248310631813e-05,0.020998328505294594,0.0009066716081681124,9801,9795
10,0.00112936348383183,0.009069776811608444,2.8266094734775116e-06,1.8581477221630938e-06,1.2559121233825806e-06,2.664992847141838e-05,7.87498576791297e-05,0.013559002472012777,0.0005017149162829605,10139,10136
11,4.3466450094074276e-05,0.0019134209899006865,5.726788446696874e-06,1.858239900147064e-06,1.255763465745377e-06,2.7656368723315817e-05,7.685882459745316e-05,0.0027234328546847696,0.00018911202750685987,10227,10225
12,1.577182166473331e-15,4.692346567005487e-11,6.719215247249602e-06,1.8583596200245956e-06,1.2559301535986887e-06,2.8769477536709115e-05,7.654791258772331e-05,9.987538565845939e-05,3.481662270990028e-05,10240,10239
13,2.9526268713893053e-15,4.6921638117048596e-11,1.0369884935980914e-05,1.8582248874938099e-06,1.2557859127122984e-06,2.8997490107694748e-05,7.571772446263803e-05,2.9526268713893053e-15,4.6921638117048596e-11,10240,10240
