,0,avg_node_degree,min_node_degree,max_node_degree,avg_curvature,min_curvature,max_curvature,num_edges,graph_density
0,42,3.857142857142857,"dict_values([3, 3, 3, 5, 6, 3, 3, 4, 5, 6, 3, 3, 3, 4, 4, 3, 4, 3, 4, 8, 3, 3, 4, 5, 3, 3, 3, 3, 3, 3, 3, 6, 4, 5, 4, 4, 3, 3, 4, 4, 3, 6])","dict_values([3, 3, 3, 5, 6, 3, 3, 4, 5, 6, 3, 3, 3, 4, 4, 3, 4, 3, 4, 8, 3, 3, 4, 5, 3, 3, 3, 3, 3, 3, 3, 6, 4, 5, 4, 4, 3, 3, 4, 4, 3, 6])",0.07324239417989421,-0.1958333333333333,0.4444444444444445,162,0.18815331010452963
1,27,3.4074074074074074,"dict_values([3, 3, 4, 4, 3, 3, 3, 4, 4, 4, 3, 3, 3, 3, 4, 4, 3, 3, 3, 3, 3, 3, 3, 4, 5, 4, 3])","dict_values([3, 3, 4, 4, 3, 3, 3, 4, 4, 4, 3, 3, 3, 3, 4, 4, 3, 3, 3, 3, 3, 3, 3, 4, 5, 4, 3])",0.22574074074074077,-0.08333333333333326,0.5333333333333333,92,0.2621082621082621
2,10,3.4,"dict_values([3, 3, 4, 3, 3, 5, 4, 3, 3, 3])","dict_values([3, 3, 4, 3, 3, 5, 4, 3, 3, 3])",0.37493055555555566,-0.09444444444444433,0.5833333333333334,34,0.7555555555555555
3,24,3.8333333333333335,"dict_values([3, 4, 4, 6, 3, 3, 4, 4, 3, 7, 4, 6, 3, 6, 4, 3, 2, 3, 3, 4, 2, 3, 3, 5])","dict_values([3, 4, 4, 6, 3, 3, 4, 4, 3, 7, 4, 6, 3, 6, 4, 3, 2, 3, 3, 4, 2, 3, 3, 5])",0.11630007558578992,-0.0771825396825397,0.33630952380952384,92,0.3333333333333333
4,11,3.8181818181818183,"dict_values([4, 5, 3, 3, 3, 3, 5, 5, 3, 3, 5])","dict_values([4, 5, 3, 3, 3, 3, 5, 5, 3, 3, 5])",0.3233207070707071,-0.026666666666666637,0.48611111111111116,42,0.7636363636363637
5,336,4.857142857142857,"dict_values([3, 4, 5, 6, 5, 4, 3, 5, 4, 5, 7, 5, 4, 5, 4, 4, 5, 4, 3, 6, 5, 5, 5, 3, 4, 5, 7, 5, 5, 5, 6, 4, 5, 7, 5, 4, 5, 4, 4, 5, 4, 4, 6, 6, 5, 5, 3, 4, 5, 5, 6, 5, 5, 5, 6, 5, 6, 6, 4, 5, 4, 4, 5, 4, 3, 6, 5, 5, 5, 3, 4, 5, 7, 5, 5, 5, 6, 4, 5, 7, 5, 4, 5, 4, 4, 5, 4, 4, 6, 6, 5, 5, 3, 4, 6, 6, 5, 6, 4, 5, 7, 5, 4, 5, 4, 4, 5, 4, 4, 6, 6, 5, 5, 3, 4, 5, 7, 5, 5, 7, 5, 6, 6, 4, 5, 4, 4, 5, 4, 3, 6, 5, 5, 5, 3, 4, 6, 6, 5, 5, 6, 5, 5, 7, 5, 4, 5, 4, 4, 5, 4, 4, 6, 6, 5, 5, 3, 4, 5, 7, 5, 5, 7, 4, 5, 7, 5, 4, 5, 4, 4, 5, 4, 3, 6, 5, 5, 5, 5, 4, 4, 5, 5, 5, 6, 5, 6, 5, 5, 3, 4, 3, 4, 5, 6, 6, 5, 5, 5, 6, 6, 5, 6, 5, 6, 5, 5, 4, 4, 3, 5, 3, 4, 5, 6, 6, 5, 4, 5, 6, 6, 5, 6, 5, 5, 5, 5, 4, 4, 3, 5, 3, 4, 5, 6, 6, 5, 5, 5, 6, 6, 5, 6, 5, 6, 5, 5, 4, 4, 3, 5, 3, 4, 5, 6, 6, 5, 5, 5, 6, 6, 5, 6, 5, 6, 5, 3, 3, 4, 3, 4, 3, 4, 5, 6, 6, 5, 5, 5, 5, 6, 5, 6, 5, 5, 5, 5, 4, 4, 3, 5, 3, 4, 5, 6, 6, 5, 5, 5, 6, 6, 5, 6, 5, 6, 5, 4, 3, 4, 3, 5, 3, 4, 5, 6, 6, 5, 5, 5, 5, 6, 5, 6, 5, 5, 5, 5, 4, 4, 3, 5, 3, 4, 5, 6, 6])","dict_values([3, 4, 5, 6, 5, 4, 3, 5, 4, 5, 7, 5, 4, 5, 4, 4, 5, 4, 3, 6, 5, 5, 5, 3, 4, 5, 7, 5, 5, 5, 6, 4, 5, 7, 5, 4, 5, 4, 4, 5, 4, 4, 6, 6, 5, 5, 3, 4, 5, 5, 6, 5, 5, 5, 6, 5, 6, 6, 4, 5, 4, 4, 5, 4, 3, 6, 5, 5, 5, 3, 4, 5, 7, 5, 5, 5, 6, 4, 5, 7, 5, 4, 5, 4, 4, 5, 4, 4, 6, 6, 5, 5, 3, 4, 6, 6, 5, 6, 4, 5, 7, 5, 4, 5, 4, 4, 5, 4, 4, 6, 6, 5, 5, 3, 4, 5, 7, 5, 5, 7, 5, 6, 6, 4, 5, 4, 4, 5, 4, 3, 6, 5, 5, 5, 3, 4, 6, 6, 5, 5, 6, 5, 5, 7, 5, 4, 5, 4, 4, 5, 4, 4, 6, 6, 5, 5, 3, 4, 5, 7, 5, 5, 7, 4, 5, 7, 5, 4, 5, 4, 4, 5, 4, 3, 6, 5, 5, 5, 5, 4, 4, 5, 5, 5, 6, 5, 6, 5, 5, 3, 4, 3, 4, 5, 6, 6, 5, 5, 5, 6, 6, 5, 6, 5, 6, 5, 5, 4, 4, 3, 5, 3, 4, 5, 6, 6, 5, 4, 5, 6, 6, 5, 6, 5, 5, 5, 5, 4, 4, 3, 5, 3, 4, 5, 6, 6, 5, 5, 5, 6, 6, 5, 6, 5, 6, 5, 5, 4, 4, 3, 5, 3, 4, 5, 6, 6, 5, 5, 5, 6, 6, 5, 6, 5, 6, 5, 3, 3, 4, 3, 4, 3, 4, 5, 6, 6, 5, 5, 5, 5, 6, 5, 6, 5, 5, 5, 5, 4, 4, 3, 5, 3, 4, 5, 6, 6, 5, 5, 5, 6, 6, 5, 6, 5, 6, 5, 4, 3, 4, 3, 5, 3, 4, 5, 6, 6, 5, 5, 5, 5, 6, 5, 6, 5, 5, 5, 5, 4, 4, 3, 5, 3, 4, 5, 6, 6])",0.16135300251052803,-0.1583333333333333,0.42500000000000004,1632,0.028997867803837955
6,108,4.5,"dict_values([4, 4, 5, 4, 5, 4, 4, 4, 5, 4, 4, 6, 4, 5, 6, 6, 4, 3, 3, 4, 4, 5, 4, 5, 4, 4, 4, 5, 4, 4, 6, 4, 5, 4, 6, 4, 3, 3, 4, 4, 4, 4, 5, 4, 3, 5, 5, 4, 4, 6, 4, 5, 4, 6, 4, 3, 3, 4, 4, 4, 4, 5, 4, 3, 4, 5, 4, 4, 6, 4, 5, 4, 6, 4, 3, 3, 3, 4, 4, 5, 5, 6, 5, 4, 3, 4, 5, 5, 7, 6, 5, 5, 3, 5, 5, 5, 7, 6, 5, 5, 3, 5, 5, 6, 7, 6, 5, 5])","dict_values([4, 4, 5, 4, 5, 4, 4, 4, 5, 4, 4, 6, 4, 5, 6, 6, 4, 3, 3, 4, 4, 5, 4, 5, 4, 4, 4, 5, 4, 4, 6, 4, 5, 4, 6, 4, 3, 3, 4, 4, 4, 4, 5, 4, 3, 5, 5, 4, 4, 6, 4, 5, 4, 6, 4, 3, 3, 4, 4, 4, 4, 5, 4, 3, 4, 5, 4, 4, 6, 4, 5, 4, 6, 4, 3, 3, 3, 4, 4, 5, 5, 6, 5, 4, 3, 4, 5, 5, 7, 6, 5, 5, 3, 5, 5, 5, 7, 6, 5, 5, 3, 5, 5, 6, 7, 6, 5, 5])",0.1933979749307131,-0.16666666666666666,0.48750000000000004,486,0.08411214953271028
7,154,3.6493506493506493,"dict_values([2, 3, 4, 3, 3, 3, 5, 4, 4, 4, 4, 3, 5, 3, 5, 5, 6, 4, 3, 4, 2, 3, 4, 3, 3, 5, 5, 4, 4, 4, 4, 4, 5, 4, 5, 5, 6, 4, 3, 4, 3, 3, 4, 3, 4, 3, 5, 5, 5, 4, 4, 4, 4, 4, 4, 7, 5, 5, 4, 3, 5, 3, 4, 3, 4, 3, 5, 6, 5, 4, 4, 4, 4, 3, 4, 7, 5, 5, 6, 3, 6, 6, 2, 5, 5, 4, 2, 2, 5, 5, 5, 4, 3, 4, 3, 5, 4, 3, 2, 6, 3, 2, 4, 2, 4, 2, 2, 5, 5, 3, 6, 3, 2, 3, 2, 2, 2, 4, 2, 2, 2, 2, 2, 2, 2, 5, 2, 3, 6, 3, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 1, 2, 2, 2, 2, 3, 5, 8, 5, 2, 2, 2, 2, 5])","dict_values([2, 3, 4, 3, 3, 3, 5, 4, 4, 4, 4, 3, 5, 3, 5, 5, 6, 4, 3, 4, 2, 3, 4, 3, 3, 5, 5, 4, 4, 4, 4, 4, 5, 4, 5, 5, 6, 4, 3, 4, 3, 3, 4, 3, 4, 3, 5, 5, 5, 4, 4, 4, 4, 4, 4, 7, 5, 5, 4, 3, 5, 3, 4, 3, 4, 3, 5, 6, 5, 4, 4, 4, 4, 3, 4, 7, 5, 5, 6, 3, 6, 6, 2, 5, 5, 4, 2, 2, 5, 5, 5, 4, 3, 4, 3, 5, 4, 3, 2, 6, 3, 2, 4, 2, 4, 2, 2, 5, 5, 3, 6, 3, 2, 3, 2, 2, 2, 4, 2, 2, 2, 2, 2, 2, 2, 5, 2, 3, 6, 3, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 1, 2, 2, 2, 2, 3, 5, 8, 5, 2, 2, 2, 2, 5])",-0.07327811644138171,-0.3611111111111111,0.33333333333333337,562,0.047703930056871235
8,19,3.473684210526316,"dict_values([3, 5, 4, 4, 4, 3, 3, 3, 3, 4, 4, 3, 3, 4, 3, 3, 3, 3, 4])","dict_values([3, 5, 4, 4, 4, 3, 3, 3, 3, 4, 4, 3, 3, 4, 3, 3, 3, 3, 4])",0.2598172514619883,-0.06944444444444435,0.5833333333333334,66,0.38596491228070173
9,11,3.4545454545454546,"dict_values([3, 3, 3, 5, 3, 3, 4, 4, 3, 3, 4])","dict_values([3, 3, 3, 5, 3, 3, 4, 4, 3, 3, 4])",0.3256944444444445,-0.08333333333333322,0.5277777777777778,38,0.6909090909090909
